centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3512;834;248;129;52;11;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4786
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;Sala de 2;     ;     ;290;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;290
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;Sala de 3;     ;     ;     ;2448;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2448
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;3550;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3550
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;3796;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3796
Gran Buenos Aires;BERAZATEGUI;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;182;242;245;289;258;281;306;569;194;105;64;49;928;3712
Gran Buenos Aires;BERAZATEGUI;Privado;Urbano; ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;0
Gran Buenos Aires;BERAZATEGUI;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;2419;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2419
Gran Buenos Aires;BERAZATEGUI;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1709;154;28;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1892
Gran Buenos Aires;BERAZATEGUI;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1761;132;33;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1929
